Total: 337.85s

         4322951 function calls (4232469 primitive calls) in 341.166 seconds

   Ordered by: cumulative time
   List reduced from 10592 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       28    0.009    0.000  994.378   35.514 C:\Swaroop\editor_1\editor_1\venv\Lib\site-packages\tqdm\std.py:1160(__iter__)
       23    0.024    0.001  992.019   43.131 C:\Users\Joylon\AppData\Local\Programs\Python\Python312\Lib\concurrent\futures\_base.py:199(as_completed)
      7/6    0.000    0.000  622.997  103.833 C:\Users\Joylon\AppData\Local\Programs\Python\Python312\Lib\threading.py:1115(join)
      7/6    0.000    0.000  622.997  103.833 C:\Users\Joylon\AppData\Local\Programs\Python\Python312\Lib\threading.py:1153(_wait_for_tstate_lock)
    60/11    1.266    0.021  547.964   49.815 C:\Users\Joylon\AppData\Local\Programs\Python\Python312\Lib\threading.py:637(wait)
    66/58    0.085    0.001  216.214    3.728 C:\Swaroop\editor_1\editor_1\venv\Lib\site-packages\PIL\Image.py:3251(fromarray)
    66/58    0.006    0.000  209.288    3.608 C:\Swaroop\editor_1\editor_1\venv\Lib\site-packages\PIL\Image.py:3167(frombuffer)
        1    0.000    0.000  207.666  207.666 C:\Users\Joylon\AppData\Local\Programs\Python\Python312\Lib\concurrent\futures\_base.py:646(__exit__)
        1    0.000    0.000  207.666  207.666 C:\Users\Joylon\AppData\Local\Programs\Python\Python312\Lib\concurrent\futures\thread.py:219(shutdown)
2193/1036   21.691    0.010  101.062    0.098 {method 'astype' of 'numpy.ndarray' objects}
  570/410    5.598    0.010   67.710    0.165 {cvtColor}
  903/558    1.717    0.002   64.349    0.115 C:\Swaroop\editor_1\editor_1\venv\Lib\site-packages\numpy\_core\fromnumeric.py:2207(clip)
  903/558    1.971    0.002   55.110    0.099 C:\Swaroop\editor_1\editor_1\venv\Lib\site-packages\numpy\_core\fromnumeric.py:48(_wrapfunc)
        1    0.027    0.027   30.556   30.556 C:\Swaroop\editor_1\editor_1\venv\Lib\site-packages\rembg\session_factory.py:11(new_session)
        1    0.057    0.057   30.503   30.503 C:\Swaroop\editor_1\editor_1\venv\Lib\site-packages\rembg\sessions\base.py:13(__init__)
        1    0.048    0.048   30.414   30.414 C:\Swaroop\editor_1\editor_1\venv\Lib\site-packages\onnxruntime\capi\onnxruntime_inference_collection.py:444(__init__)
  903/558    4.167    0.005   25.820    0.046 {method 'clip' of 'numpy.ndarray' objects}
    22/21   19.415    0.883   19.427    0.925 {imwrite}
    22/13    0.072    0.003   14.869    1.144 C:\Swaroop\editor_1\editor_1\src\utils\image_io.py:30(save_image)
    78/76    0.166    0.002   12.042    0.158 C:\Swaroop\editor_1\editor_1\venv\Lib\site-packages\PIL\Image.py:2220(resize)
